UBIGEO,NOMBRE,DEPARTAMENTO,PROVINCIA,DISTRITO,POBLACION,VIVIENDA,VIVIENDAS CON LUZ,VIVIENDAS SIN LUZ,AREA
301010049,CHONTAY,APURIMAC,ABANCAY,ABANCAY,15,7,4,0,RURAL
301010045,TANCARPATA,APURIMAC,ABANCAY,ABANCAY,109,71,21,18,RURAL
301010048,LAYAMPATA (HUARMILLACTA),APURIMAC,ABANCAY,ABANCAY,31,22,0,13,RURAL
301010051,QUISAPATA BAJA,APURIMAC,ABANCAY,ABANCAY,67,39,20,2,RURAL
301010041,QUISAPATA ALTA,APURIMAC,ABANCAY,ABANCAY,101,42,28,4,RURAL
301010042,SAN GABRIEL,APURIMAC,ABANCAY,ABANCAY,323,124,89,8,RURAL
301010047,ARAHUAY,APURIMAC,ABANCAY,ABANCAY,16,10,0,7,RURAL
301010046,ROSASPATA,APURIMAC,ABANCAY,ABANCAY,34,35,7,11,RURAL
301010044,CCOYA,APURIMAC,ABANCAY,ABANCAY,28,15,4,4,RURAL
301010054,CONDADO,APURIMAC,ABANCAY,ABANCAY,53,32,16,6,RURAL
301010040,WIRACOCHA VIRACOCHAPATA,APURIMAC,ABANCAY,ABANCAY,83,56,24,3,RURAL
301010039,PALTAIPATA,APURIMAC,ABANCAY,ABANCAY,42,18,7,6,RURAL
301010053,CHACABAMBA,APURIMAC,ABANCAY,ABANCAY,45,22,8,4,RURAL
301010043,ATUMPATA,APURIMAC,ABANCAY,ABANCAY,226,98,55,6,RURAL
301010031,CHINTO,APURIMAC,ABANCAY,ABANCAY,3,3,0,2,RURAL
301010017,PURUCHACCA,APURIMAC,ABANCAY,ABANCAY,22,18,5,1,RURAL
301010030,AYMAS,APURIMAC,ABANCAY,ABANCAY,20,27,6,1,RURAL
301010007,LLAÑUCANCHA,APURIMAC,ABANCAY,ABANCAY,192,80,58,8,RURAL
301010022,AYAORCCO,APURIMAC,ABANCAY,ABANCAY,83,27,23,2,RURAL
301010009,ASILLO,APURIMAC,ABANCAY,ABANCAY,153,95,52,3,RURAL
301010052,TASTACCASA,APURIMAC,ABANCAY,ABANCAY,4,2,0,2,RURAL
301010038,PACHACHACA,APURIMAC,ABANCAY,ABANCAY,284,135,74,6,RURAL
301010037,PUENTE PACHACHACA,APURIMAC,ABANCAY,ABANCAY,18,11,6,0,RURAL
301010023,TRUJIPATA,APURIMAC,ABANCAY,ABANCAY,199,78,56,1,RURAL
301010012,HUAYLLABAMBA,APURIMAC,ABANCAY,ABANCAY,196,63,5,58,RURAL
301010032,MOLINOPATA,APURIMAC,ABANCAY,ABANCAY,616,283,156,17,RURAL
301010019,DURAZNOPATA,APURIMAC,ABANCAY,ABANCAY,7,7,2,1,RURAL
301010029,IMPONEDA,APURIMAC,ABANCAY,ABANCAY,44,43,15,1,RURAL
301010033,QUITASOL,APURIMAC,ABANCAY,ABANCAY,185,103,44,7,RURAL
301010008,CCARCCATERA,APURIMAC,ABANCAY,ABANCAY,108,42,31,5,RURAL
301010014,CHILLCAPAMPA,APURIMAC,ABANCAY,ABANCAY,90,45,31,2,RURAL
301010024,CCACSA,APURIMAC,ABANCAY,ABANCAY,102,63,40,2,RURAL
301010011,HUMACCATA,APURIMAC,ABANCAY,ABANCAY,221,71,57,1,RURAL
301010005,CHUPAPATA,APURIMAC,ABANCAY,ABANCAY,11,10,2,2,RURAL
301010035,ILLANYA,APURIMAC,ABANCAY,ABANCAY,76,30,23,2,RURAL
301010010,MOYOCORRAL,APURIMAC,ABANCAY,ABANCAY,396,173,106,14,RURAL
301010016,MAUCACALLE,APURIMAC,ABANCAY,ABANCAY,198,58,45,6,RURAL
301010015,LEONPAMPA,APURIMAC,ABANCAY,ABANCAY,193,60,43,8,RURAL
301010013,TARACCASA,APURIMAC,ABANCAY,ABANCAY,44,14,10,3,RURAL
301010018,MARCAHUASI,APURIMAC,ABANCAY,ABANCAY,85,30,22,2,RURAL
301010002,MINUNE,APURIMAC,ABANCAY,ABANCAY,17,9,6,0,RURAL
301010004,CALLAMARCA,APURIMAC,ABANCAY,ABANCAY,23,13,10,3,RURAL
301010003,PACCHACCPATA,APURIMAC,ABANCAY,ABANCAY,55,29,11,10,RURAL
301010006,PANTILLAY,APURIMAC,ABANCAY,ABANCAY,45,18,16,0,RURAL
301010001,ABANCAY,APURIMAC,ABANCAY,ABANCAY,63106,20331,17229,423,URBANO
301010056,PACCLAPATA,APURIMAC,ABANCAY,ABANCAY,4,10,3,0,RURAL
301010055,HUARMIPAMPA,APURIMAC,ABANCAY,ABANCAY,46,13,3,10,RURAL
301010057,VILLA GLORIA,APURIMAC,ABANCAY,ABANCAY,17,5,2,3,RURAL
301010062,PACHACHACA ALTA,APURIMAC,ABANCAY,ABANCAY,277,118,70,3,RURAL
301010020,PUCA PUCA,APURIMAC,ABANCAY,ABANCAY,48,20,14,0,RURAL
301010025,LIMAPATA,APURIMAC,ABANCAY,ABANCAY,436,143,101,18,RURAL
301010059,SANTA ROSA,APURIMAC,ABANCAY,ABANCAY,231,82,63,4,RURAL
301020005,SUPARAURA,APURIMAC,ABANCAY,CHACOCHE,3,10,2,0,RURAL
301020006,ACLLUTA,APURIMAC,ABANCAY,CHACOCHE,24,14,10,0,RURAL
301020008,ANTAHUIQUI,APURIMAC,ABANCAY,CHACOCHE,6,9,0,5,RURAL
301020009,ITAHUI,APURIMAC,ABANCAY,CHACOCHE,16,19,0,8,RURAL
301020010,UNCAPAMPA,APURIMAC,ABANCAY,CHACOCHE,15,23,8,0,RURAL
301020004,ACCO,APURIMAC,ABANCAY,CHACOCHE,3,9,0,2,RURAL
301020007,ANCHICHA,APURIMAC,ABANCAY,CHACOCHE,186,110,55,29,RURAL
301020003,MOLLEBAMBA,APURIMAC,ABANCAY,CHACOCHE,54,40,12,12,RURAL
301020002,CASINCHIHUA,APURIMAC,ABANCAY,CHACOCHE,833,349,206,29,URBANO
301020001,CHACOCHE,APURIMAC,ABANCAY,CHACOCHE,199,121,71,14,URBANO
301030085,MACIMA,APURIMAC,ABANCAY,CIRCA,3,5,0,3,RURAL
301030087,PAMPA CCAHUANA,APURIMAC,ABANCAY,CIRCA,6,7,0,5,RURAL
301030089,HUAYCCO WASI,APURIMAC,ABANCAY,CIRCA,0,1,0,0,RURAL
301030090,YANA RUMI,APURIMAC,ABANCAY,CIRCA,2,1,0,1,RURAL
301030092,CCATITA,APURIMAC,ABANCAY,CIRCA,3,2,0,2,RURAL
301030093,CHAQUIPAMPA,APURIMAC,ABANCAY,CIRCA,2,3,0,1,RURAL
301030094,ANCCO MARCA,APURIMAC,ABANCAY,CIRCA,0,3,0,0,RURAL
301030095,HUANA COMA,APURIMAC,ABANCAY,CIRCA,4,3,0,2,RURAL
301030051,CHUCCHUBAMBA,APURIMAC,ABANCAY,CIRCA,6,13,0,4,RURAL
301030052,PARARANI,APURIMAC,ABANCAY,CIRCA,21,21,14,0,RURAL
301030053,PARCCO,APURIMAC,ABANCAY,CIRCA,32,23,18,0,RURAL
301030097,PILLPINTO,APURIMAC,ABANCAY,CIRCA,0,1,0,0,RURAL
301030049,APINUHUAYLLA,APURIMAC,ABANCAY,CIRCA,80,49,25,10,RURAL
301030048,TAMBURQUI,APURIMAC,ABANCAY,CIRCA,98,58,35,8,RURAL
301030043,HACIENDAPAMPA,APURIMAC,ABANCAY,CIRCA,59,24,16,3,RURAL
301030046,TACCACCA,APURIMAC,ABANCAY,CIRCA,125,63,29,13,RURAL
301030074,HUANCARPATA,APURIMAC,ABANCAY,CIRCA,2,3,0,2,RURAL
301030075,PALCCA,APURIMAC,ABANCAY,CIRCA,2,1,0,1,RURAL
301030044,PATAPATA,APURIMAC,ABANCAY,CIRCA,28,23,12,4,RURAL
301030047,KESARI,APURIMAC,ABANCAY,CIRCA,57,40,27,4,RURAL
301030038,AUQUIMARCA,APURIMAC,ABANCAY,CIRCA,6,7,1,3,RURAL
301030041,MOLLINI,APURIMAC,ABANCAY,CIRCA,9,14,2,4,RURAL
301030034,HUAYCACCA,APURIMAC,ABANCAY,CIRCA,1,11,1,0,RURAL
301030035,CHANCHIYOC,APURIMAC,ABANCAY,CIRCA,0,2,0,0,RURAL
301030096,LIMAC PATA,APURIMAC,ABANCAY,CIRCA,0,1,0,0,RURAL
301030033,YERBABUENAYOC,APURIMAC,ABANCAY,CIRCA,1,2,0,1,RURAL
301030039,SOCCOS PAMPA,APURIMAC,ABANCAY,CIRCA,9,6,4,0,RURAL
